,exp_type,experiment,frac_gene,gene,trial,growth_rate_hr
154,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,cysK,1.0,0.967182112409226
155,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,cysM,1.0,0.967182112409226
156,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,cysN,1.0,0.967182112409226
157,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,cysP,1.0,0.967182112409226
158,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,cysQ,1.0,0.967182112409226
159,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,cysS,1.0,0.967182112409226
160,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,cytR,1.0,0.967182112409226
161,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,dacA,1.0,0.967182112409226
162,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,dacC,1.0,0.967182112409226
163,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,dadA,1.0,0.967182112409226
164,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,dadX,1.0,0.967182112409226
165,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,damX,1.0,0.967182112409226
166,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,dapA,1.0,0.967182112409226
167,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,dapB,1.0,0.967182112409226
168,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,dapD,1.0,0.967182112409226
169,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,dapE,1.0,0.967182112409226
170,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,dcd,1.0,0.967182112409226
171,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,dcm,1.0,0.967182112409226
172,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,dcp,1.0,0.967182112409226
173,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,dcrB,1.0,0.967182112409226
174,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,dcuA,1.0,0.967182112409226
175,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,dcyD,1.0,0.967182112409226
176,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,ddlB,1.0,0.967182112409226
177,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,deaD,1.0,0.967182112409226
178,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,def,1.0,0.967182112409226
179,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,degP,1.0,0.967182112409226
180,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,degQ,1.0,0.967182112409226
181,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,deoB,1.0,0.967182112409226
182,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,deoC,1.0,0.967182112409226
183,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,deoD,1.0,0.967182112409226
184,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,dhaK,1.0,0.967182112409226
