,,,downshift,downshift,downshift,downshift,downshift,downshift,downshift,downshift,upshift,upshift,upshift,upshift,upshift,upshift,upshift,upshift
ybgI,,C up,"0,020388922","0,022054359","0,047320478","0,033253291","0,036670205","0,028283662","0,041588531","0,039266526","0,03148257","0,033048402","0,029422718","0,023449984","0,025611327","0,017091484","0,037078981","0,027100865"
hemY,,C up,"0,012687135",0,"0,011830119","0,021669001","0,02217465","0,017955217","0,011665525","0,020879666","0,03168128","0,048528288","0,029422718","0,035174976","0,01018044","0,028230587","0,029803298","0,02136692"
hflC,,C up,"0,042136063","0,037465964","0,062006023","0,046337158","0,0443493","0,041074657","0,04007014","0,045395479","0,03682902","0,033048402","0,052895887","0,041280727","0,041042214","0,051274452","0,050476113","0,058366814"
hflX,,C up,"0,015403574",0,"0,011830119",0,0,0,"0,010147133","0,009833809","0,01029548","0,009623713","0,011574074","0,011238481","0,01018044","0,010373444","0,012242899","0,01068346"
htpG,,C up,"0,135468196","0,149863857","0,168409029","0,1788067","0,163462633","0,15544058","0,161798952","0,182862673","0,141373502","0,135551427","0,129102434","0,13972688","0,136955267","0,112156688","0,155241323","0,148784009"
icd,TCA,C up,"0,71948486","0,738826254","0,683103441","0,676996795","0,723502218","0,799945824","0,775775776","0,765972086","0,9197226","0,8788632","0,935301973","0,92738119","0,833354076","0,76659751","0,779390791","0,747571446"
ihfB,,C up,0,0,"0,011830119","0,010084712","0,011087325","0,01155972","0,011665525","0,015962762","0,01029548","0,009623713",0,"0,011238481","0,01018044","0,010373444","0,009934433","0,01068346"
ilvB,amino acid synthesis,C up,"0,048479631","0,05500367","0,128533428","0,109300962","0,079595883","0,064194097","0,081658672","0,049100334","0,05821482","0,043716431","0,047433872","0,047386479","0,041042214","0,051274452","0,038233214","0,049252215"
ilvH,amino acid synthesis,C up,"0,014045354",0,"0,014753615","0,016626645","0,023598272","0,02558199","0,011665525","0,022091715","0,01049419","0,010668029","0,011899096","0,012211503","0,015110434",0,"0,012242899","0,01068346"
ilvI,amino acid synthesis,C up,"0,028090709","0,066427528","0,039875601","0,049879936","0,066523951","0,045007604","0,058327623","0,065063096","0,047124501","0,03095977","0,029422718","0,040307705","0,035471315","0,017091484","0,04932188","0,03048152"
